GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06027","Inyo, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3792,4146,4505,5147,5244,5657,6268,6752,7210,8631,9184,10328,11620,11768,12484,13169,13629,14167,14500,16140,17425,18241,18829,19239,19979,20156,20909,21781,22680,24130,25075,25518,29887,29889,31258,34385,36095,38571,39553,42280,41363,42443,43611,45312,45771,48563,50928,54678,56238,54814,57680,59781,61205,59967,67788,72766
 "06029","Kern, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1273392,1357079,1464866,1593327,1818667,2156400,2343300,2763966,2921259,3216417,3830222,4499771,4818599,5251641,5469058,6023448,6465055,6901112,7142678,7846773,8359689,9088299,9712261,10185890,10674838,10918343,11312751,11922153,12275494,13023767,13436155,14247370,15112815,16043891,17124257,18395999,19804585,21411340,23183294,23890508,23733721,25809681,27307412,28877595,29679549,31577551,32173940,32048150,32666174,33813117,35612628,40423694,42880516,41543441,43497072,46717492
 "06029","Kern, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",325549,330868,336227,336833,343007,344840,356866,366932,372217,377990,393198,406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,841561,849631,856159,865279,873174,880669,886002,893009,900095,906160,906124,912782,917293,916646,922529
 "06029","Kern, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3912,4102,4357,4730,5302,6253,6566,7533,7848,8509,9741,11072,11504,12109,12236,13111,13632,14193,14345,15356,15835,16538,17059,17267,17796,17762,18240,19023,19341,20254,20500,21463,22337,23116,23974,24985,26034,27293,28861,29194,28590,30669,32140,33729,34301,36164,36534,36172,36580,37566,39301,44612,46978,45289,47452,50641
 "06031","Kings, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",240790,265191,278879,314305,345342,437143,445741,532959,531403,525109,684405,847075,828481,892023,859217,998903,1006381,1007409,1155634,1243284,1381336,1393415,1496715,1629712,1718643,1781393,1801184,1927687,1971334,1999312,2137468,2256782,2454775,2728925,3081153,3331631,3434580,3473368,3995536,3873560,3729952,4013295,4447898,4318502,4452325,4899529,4906911,5097044,5290349,5296250,5554037,6340628,6709291,6613040,6796223,7392211
 "06031","Kings, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",65647,66570,66450,68161,68308,69067,70590,71708,72467,73556,73562,74265,76229,78213,81138,83004,85205,86372,88032,94510,99850,101885,104334,107414,109161,111565,113840,115411,116769,121457,126402,129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,152335,151740,150814,150135,149239,149795,149073,149314,150962,152437,152797,152724,152776,153281,154913
 "06031","Kings, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3668,3984,4197,4611,5056,6329,6315,7432,7333,7139,9304,11406,10868,11405,10590,12034,11811,11664,13127,13155,13834,13676,14345,15172,15744,15967,15822,16703,16882,16461,16910,17382,18473,20159,22104,23201,23663,23514,26563,25479,24494,26345,29313,28635,29655,32830,32758,34192,35431,35083,36435,41497,43931,43286,44338,47718
 "06033","Lake, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",72377,79809,88263,100223,118046,134168,156373,178147,206512,248026,289843,350352,401468,448011,495570,549973,590295,640177,668584,713189,803141,857858,929848,971683,1003759,1034434,1057698,1129988,1167028,1247344,1310496,1392102,1493134,1583129,1635390,1676868,1705183,1802981,1873493,1905630,1911266,2014781,2034252,2072300,2119199,2241684,2366677,2422965,2547917,2625869,2726268,2998383,3224235,3123439,3282773,3564760
 "06033","Lake, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",18799,19805,20929,21839,23471,24131,25629,27425,29580,32228,34740,36831,38623,39991,41805,43812,45494,46135,47139,47911,48942,51149,53036,54358,55492,56097,56265,56331,56275,56695,57214,58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,64827,64713,64785,64994,65602,66176,66187,66770,67396,67829,68200,68623,68239,67934,67764
 "06033","Lake, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3850,4030,4217,4589,5029,5560,6101,6496,6981,7696,8343,9512,10395,11203,11854,12553,12975,13876,14183,14886,16410,16772,17532,17876,18088,18440,18799,20060,20738,22001,22905,23781,24795,25736,26168,26568,26722,28083,29238,29594,29672,31079,31435,31987,32606,34171,35763,36608,38160,38962,40193,43965,46985,45772,48323,52606
 "06035","Lassen, CA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",67368,71748,79170,83128,93102,96098,113632,129147,139038,162228,184251,201589,213314,233034,245530,265345,283034,302146,314002,335359,358837,378220,413270,450666,461814,494120,513736,543155,556536,581586,608587,627025,641188,674234,717821,747289,768805,823757,886976,942152,921250,962390,976210,962323,940872,967576,1015521,1046637,1056481,1072008,1084294,1228249,1301988,1248927,1261957,1383512
 "06035","Lassen, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",16611,16866,17231,17652,17644,18168,18596,18643,19352,19963,21137,21851,22570,23370,23558,23830,24128,24639,26051,26681,27334,27666,28001,28603,28774,28544,28825,31874,34123,34030,33838,33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,34891,34552,34193,32953,32744,32589,32302,32760,32753,33043,32319,31884,30401,28838,28340
 "06035","Lassen, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4056,4254,4595,4709,5277,5289,6111,6927,7185,8126,8717,9226,9451,9972,10422,11135,11731,12263,12053,12569,13128,13671,14759,15756,16050,17311,17823,17041,16310,17090,17985,18596,19113,20169,21156,21687,22292,23805,24905,26750,26202,27583,28253,28144,28552,29550,31161,32402,32249,32730,32815,38004,40835,41082,43760,48818
